A,B,TOLLSEGNUM,TOLL_POLICY,TOLL,SEG_DISTANCE
28114,28115,1,3,0,1
28115,28116,1,3,0,1
28116,28117,1,3,0,1
28117,28118,1,3,0,1
28118,28119,1,3,0,1
28121,31113,1,3,0,1
28122,28121,1,3,0,1
28123,28122,1,3,0,1
28124,28123,1,3,0,1
29644,31101,1,3,0,1
31027,34267,1,3,0,1
31037,30981,1,3,0,1
31057,31113,1,3,0,1
31101,28114,1,3,0,1
31101,31112,1,3,0,1
31107,31115,1,3,0,1
31112,31037,1,3,0,1
31113,31107,1,3,0,1
31115,31124,1,3,0,1
31122,29644,1,3,0,1
31124,31137,1,3,0,1
31127,31122,1,3,0,1
31137,31151,1,3,0,1
31147,31127,1,3,0,1
31151,31167,1,3,0,1
31157,31147,1,3,0,1
32155,32172,1,3,0,1
32172,31057,1,3,0,1
32177,32155,1,3,0,1
34267,31057,1,3,0,1
