"","trip_mode","model_label","vtrips.indiv","ptrips.indiv","vtrips.joint","ptrips.joint","vtrips","ptrips"
"1",1,"SOV_GP",2820113,2820113,0,0,29785,29785
"2",2,"SOV_PAY",414808,414808,0,0,2742,2742
"3",3,"SR2_GP",263280,526560,105851,105851,31033,31033
"4",4,"SR2_HOV",275356.5,550713,96648,96648,25995,25995
"5",5,"SR2_PAY",40496,80992,16480,16480,1798,1798
"6",6,"SR3_GP",59588.8888888889,198431,54250,54250,7072,7072
"7",7,"SR3_HOV",113063.063063063,376500,50724,50724,5808,5808
"8",8,"SR3_PAY",6765.16516516516,22528,9174,9174,418,418
"9",9,"WALK",0,861741,0,91589,0,58051
"10",10,"BIKE",0,119477,0,882,0,0
"11",11,"WLK_LOC",0,65631,0,2226,0,351
"12",12,"WLK_EXP",0,3365,0,86,0,4
"13",13,"WLK_BRT",0,7874,0,255,0,0
"14",14,"WLK_LRT",0,0,0,0,0,0
"15",15,"WLK_HRT",0,13871,0,250,0,0
"16",16,"WLK_CMR",0,1358,0,79,0,0
"17",17,"PNR_LOC",0,888,0,0,0,0
"18",18,"PNR_EXP",0,1163,0,0,0,0
"19",19,"PNR_BRT",0,862,0,0,0,0
"20",20,"PNR_LRT",0,0,0,0,0,0
"21",21,"PNR_HRT",0,3354,0,0,0,0
"22",22,"PNR_CMR",0,2321,0,0,0,0
"23",23,"KNR_LOC",0,1712,0,4,0,0
"24",24,"KNR_EXP",0,369,0,0,0,0
"25",25,"KNR_BRT",0,664,0,1,0,0
"26",26,"KNR_LRT",0,0,0,0,0,0
"27",27,"KNR_HRT",0,2312,0,7,0,0
"28",28,"KNR_CMR",0,1376,0,2,0,0
"29",29,"SCHLBUS",0,136260,0,0,0,0
"30",30,"TAXI",0,0,0,0,0,13717
