A,B,DISTANCE,CAPACITY,NUM_LANES,FTYPE,FFSPEED,ALPHA,BETA
1,12911,3.0169,10000,1,51,12.5,0.75,4
1,13379,1.6058,10000,1,51,12.5,0.75,4
1,13607,2.3803,10000,1,51,12.5,0.75,4
2,13899,2.3745,10000,1,51,12.5,0.75,4
2,14041,2.2716,10000,1,51,12.5,0.75,4
2,14347,2.2274,10000,1,51,12.5,0.75,4
3,14575,2.3056,10000,1,51,12.5,0.75,4
3,14709,1.3162,10000,1,51,12.5,0.75,4
3,14875,0.4786,10000,1,51,12.5,0.75,4
3,15101,2.154,10000,1,51,12.5,0.75,4
4,15285,1.6316,10000,1,51,12.5,0.75,4
4,15419,0.3973,10000,1,51,12.5,0.75,4
4,15483,1.2097,10000,1,51,12.5,0.75,4
5,12242,1.9916,10000,1,51,12.5,0.75,4
5,14283,1.8551,10000,1,51,12.5,0.75,4
5,14315,0.968,10000,1,51,12.5,0.75,4
5,14551,1.7621,10000,1,51,12.5,0.75,4
5,14593,0.8193,10000,1,51,12.5,0.75,4
5,17960,2.5503,10000,1,51,12.5,0.75,4
6,14919,3.1667,10000,1,51,12.5,0.75,4
6,14923,2.6908,10000,1,51,12.5,0.75,4
6,15009,1.1651,10000,1,51,12.5,0.75,4
6,15025,0.9437,10000,1,51,12.5,0.75,4
6,15089,3.2203,10000,1,51,12.5,0.75,4
6,15172,2.4634,10000,1,51,12.5,0.75,4
7,15172,3.5423,10000,1,51,12.5,0.75,4
7,15273,3.9402,10000,1,51,12.5,0.75,4
7,15403,3.1906,10000,1,51,12.5,0.75,4
7,15469,3.4483,10000,1,51,12.5,0.75,4
7,15573,3.5878,10000,1,51,12.5,0.75,4
7,15681,3.2937,10000,1,51,12.5,0.75,4
8,12389,3.3914,10000,1,51,12.5,0.75,4
8,16047,2.7685,10000,1,51,12.5,0.75,4
8,16169,3.7533,10000,1,51,12.5,0.75,4
8,16357,2.2949,10000,1,51,12.5,0.75,4
8,16529,3.3981,10000,1,51,12.5,0.75,4
9,15681,2.9978,10000,1,51,12.5,0.75,4
9,15747,4.2955,10000,1,51,12.5,0.75,4
9,16047,1.9339,10000,1,51,12.5,0.75,4
10,13127,1.2178,10000,1,51,12.5,0.75,4
10,13331,0.7362,10000,1,51,12.5,0.75,4
10,13547,2.3792,10000,1,51,12.5,0.75,4
11,15565,1.4043,10000,1,51,12.5,0.75,4
11,15669,0.6787,10000,1,51,12.5,0.75,4
11,15755,1.3084,10000,1,51,12.5,0.75,4
12,12685,1.9519,10000,1,51,12.5,0.75,4
12,15987,1.5806,10000,1,51,12.5,0.75,4
12,16165,0.2518,10000,1,51,12.5,0.75,4
12,16345,3.4855,10000,1,51,12.5,0.75,4
13,16345,3.5089,10000,1,51,12.5,0.75,4
13,18399,2.1521,10000,1,51,12.5,0.75,4
13,19318,2.4163,10000,1,51,12.5,0.75,4
13,21039,2.3186,10000,1,51,12.5,0.75,4
14,16529,2.1212,10000,1,51,12.5,0.75,4
14,16723,1.4569,10000,1,51,12.5,0.75,4
14,21225,1.4607,10000,1,51,12.5,0.75,4
15,16093,2.4551,10000,1,51,12.5,0.75,4
15,16537,3.4958,10000,1,51,12.5,0.75,4
16,12302,4.6962,10000,1,51,15,0.75,4
16,12731,4.5683,10000,1,51,15,0.75,4
16,13059,4.7548,10000,1,51,12.5,0.75,4
17,13108,6.056,10000,1,51,12.5,0.75,4
17,13315,14.0776,10000,1,51,12.5,0.75,4
17,14269,15.2317,10000,1,51,12.5,0.75,4
18,12427,3.1555,10000,1,51,15,0.75,4
18,12887,2.9009,10000,1,51,15,0.75,4
18,18999,0.5756,10000,1,51,15,0.75,4
19,13990,4.3908,10000,1,51,12.5,0.75,4
19,14657,6.3078,10000,1,51,12.5,0.75,4
19,15221,2.009,10000,1,51,12.5,0.75,4
20,12873,1.3281,10000,1,51,12.5,0.75,4
20,13547,1.4007,10000,1,51,12.5,0.75,4
20,14191,4.1001,10000,1,51,12.5,0.75,4
20,14283,4.0744,10000,1,51,12.5,0.75,4
21,13476,8.1998,10000,1,51,12.5,0.75,4
21,13516,13.6797,10000,1,51,12.5,0.75,4
22,12177,10.294,10000,1,51,12.5,0.75,4
22,13518,16.1248,10000,1,51,12.5,0.75,4
22,15701,11.2591,10000,1,51,12.5,0.75,4
23,21051,0.9007,10000,1,51,12.5,0.75,4
23,21107,1.8053,10000,1,51,12.5,0.75,4
23,21135,0.3384,10000,1,51,12.5,0.75,4
23,21141,1.1927,10000,1,51,12.5,0.75,4
24,21185,1.0438,10000,1,51,12.5,0.75,4
24,21196,0.9753,10000,1,51,12.5,0.75,4
24,21217,1.0121,10000,1,51,12.5,0.75,4
25,21217,0.5917,10000,1,51,12.5,0.75,4
25,21226,1.1247,10000,1,51,12.5,0.75,4
25,21235,0.9988,10000,1,51,12.5,0.75,4
26,21251,0.3914,10000,1,51,12.5,0.75,4
26,21279,0.6352,10000,1,51,12.5,0.75,4
27,21285,1.4794,10000,1,51,12.5,0.75,4
27,21725,1.4554,10000,1,51,12.5,0.75,4
27,21731,0.6328,10000,1,51,12.5,0.75,4
27,21777,0.9763,10000,1,51,12.5,0.75,4
28,21329,1.1818,10000,1,51,12.5,0.75,4
28,21779,1.649,10000,1,51,12.5,0.75,4
28,21823,1.3474,10000,1,51,12.5,0.75,4
28,21875,1.5556,10000,1,51,12.5,0.75,4
29,21279,1.5956,10000,1,51,12.5,0.75,4
29,21329,1.0311,10000,1,51,12.5,0.75,4
29,21397,1.3723,10000,1,51,12.5,0.75,4
30,21397,1.3437,10000,1,51,12.5,0.75,4
30,21435,1.073,10000,1,51,12.5,0.75,4
30,21453,0.6649,10000,1,51,12.5,0.75,4
31,21435,1.0766,10000,1,51,12.5,0.75,4
31,21875,1.1884,10000,1,51,12.5,0.75,4
31,21911,1.1491,10000,1,51,12.5,0.75,4
32,21823,0.8049,10000,1,51,12.5,0.75,4
32,22305,1.5282,10000,1,51,12.5,0.75,4
32,42276,1.6458,10000,1,51,12.5,0.75,4
33,21911,1.6278,10000,1,51,12.5,0.75,4
33,22301,1.5008,10000,1,51,12.5,0.75,4
33,22621,1.6007,10000,1,51,12.5,0.75,4
34,21761,0.7426,10000,1,51,12.5,0.75,4
34,22211,0.8418,10000,1,51,12.5,0.75,4
34,26220,0.7876,10000,1,51,12.5,0.75,4
35,21573,1.1805,10000,1,51,12.5,0.75,4
36,21107,1.4713,10000,1,51,12.5,0.75,4
36,21563,1.057,10000,1,51,12.5,0.75,4
36,21603,1.6531,10000,1,51,12.5,0.75,4
36,21617,0.3721,10000,1,51,12.5,0.75,4
37,21185,1.7043,10000,1,51,12.5,0.75,4
37,21677,0.5798,10000,1,51,12.5,0.75,4
37,21679,1.4478,10000,1,51,12.5,0.75,4
37,21695,0.3801,10000,1,51,12.5,0.75,4
38,21238,1.4789,10000,1,51,12.5,0.75,4
38,21695,0.4894,10000,1,51,12.5,0.75,4
38,21701,1.4873,10000,1,51,12.5,0.75,4
38,21707,0.5192,10000,1,51,12.5,0.75,4
39,21715,1.1884,10000,1,51,12.5,0.75,4
39,22157,0.9809,10000,1,51,12.5,0.75,4
39,22280,1.203,10000,1,51,12.5,0.75,4
40,21679,0.8827,10000,1,51,12.5,0.75,4
40,22095,1.06,10000,1,51,12.5,0.75,4
40,22280,0.5336,10000,1,51,12.5,0.75,4
41,21975,2.1202,10000,1,51,12.5,0.75,4
41,22379,1.0731,10000,1,51,12.5,0.75,4
41,22693,2.1145,10000,1,51,12.5,0.75,4
42,22469,0.9662,10000,1,51,12.5,0.75,4
42,22811,0.4209,10000,1,51,12.5,0.75,4
42,22819,1.0885,10000,1,51,12.5,0.75,4
43,22843,0.3695,10000,1,51,12.5,0.75,4
43,23201,0.7197,10000,1,51,12.5,0.75,4
43,23219,1.2932,10000,1,51,12.5,0.75,4
44,22803,0.4687,10000,1,51,12.5,0.75,4
44,23113,1.0239,10000,1,51,12.5,0.75,4
44,23157,0.5572,10000,1,51,12.5,0.75,4
45,23381,1.2927,10000,1,51,12.5,0.75,4
46,23407,0.6083,10000,1,51,12.5,0.75,4
46,23465,0.395,10000,1,51,12.5,0.75,4
47,23505,0.3849,10000,1,51,12.5,0.75,4
47,23527,1.2115,10000,1,51,12.5,0.75,4
48,22500,0.0733,10000,1,51,12.5,0.75,4
49,22119,1.4689,10000,1,51,12.5,0.75,4
49,22195,1.54,10000,1,51,12.5,0.75,4
49,22346,0.5755,10000,1,51,12.5,0.75,4
49,22509,0.6113,10000,1,51,12.5,0.75,4
50,22119,0.3021,10000,1,51,12.5,0.75,4
50,22500,0.3079,10000,1,51,12.5,0.75,4
51,22479,0.3161,10000,1,51,12.5,0.75,4
52,22479,1.6038,10000,1,51,12.5,0.75,4
52,22505,0.8231,10000,1,51,12.5,0.75,4
52,22509,0.736,10000,1,51,12.5,0.75,4
52,22537,1.4514,10000,1,51,12.5,0.75,4
53,22195,0.2528,10000,1,51,12.5,0.75,4
53,22197,0.3304,10000,1,51,12.5,0.75,4
54,22197,0.8725,10000,1,51,12.5,0.75,4
54,22537,0.4536,10000,1,51,12.5,0.75,4
54,22545,0.7386,10000,1,51,12.5,0.75,4
55,22505,1.0223,10000,1,51,12.5,0.75,4
55,22843,1.0154,10000,1,51,12.5,0.75,4
55,22867,1.2592,10000,1,51,12.5,0.75,4
56,22057,0.7399,10000,1,51,12.5,0.75,4
56,22387,0.9979,10000,1,51,12.5,0.75,4
56,22427,0.8025,10000,1,51,12.5,0.75,4
56,22467,1.2583,10000,1,51,12.5,0.75,4
57,22467,0.3613,10000,1,51,12.5,0.75,4
57,22469,0.1938,10000,1,51,12.5,0.75,4
58,22427,0.9444,10000,1,51,12.5,0.75,4
58,22693,1.0502,10000,1,51,12.5,0.75,4
58,22748,1.1132,10000,1,51,12.5,0.75,4
58,22809,1.1634,10000,1,51,12.5,0.75,4
59,22259,0.5679,10000,1,51,12.5,0.75,4
59,22262,0.4284,10000,1,51,12.5,0.75,4
59,22299,1.4174,10000,1,51,12.5,0.75,4
60,22259,0.9709,10000,1,51,12.5,0.75,4
60,22556,1.0793,10000,1,51,12.5,0.75,4
60,22602,1.291,10000,1,51,12.5,0.75,4
61,22601,2.0621,10000,1,51,12.5,0.75,4
61,22617,1.1725,10000,1,51,12.5,0.75,4
61,22621,0.9289,10000,1,51,12.5,0.75,4
62,22617,0.9888,10000,1,51,12.5,0.75,4
62,22965,1.7803,10000,1,51,12.5,0.75,4
62,22999,0.8281,10000,1,51,12.5,0.75,4
62,25066,1.7802,10000,1,51,12.5,0.75,4
63,25062,0.3959,10000,1,51,12.5,0.75,4
63,25071,0.8176,10000,1,51,12.5,0.75,4
64,25071,0.7295,10000,1,51,12.5,0.75,4
64,25089,1.2824,10000,1,51,12.5,0.75,4
64,25094,0.9644,10000,1,51,12.5,0.75,4
65,22581,0.8886,10000,1,51,12.5,0.75,4
65,22901,1.3351,10000,1,51,12.5,0.75,4
