A,B,TOLLSEGNUM,TOLL_POLICY,TOLL,SEG_DISTANCE
31307,31327,1,1,0,6.7
31317,31297,1,1,0,6.68
12069,16915,0,3,1.1,1
12085,16939,0,3,0.4,1
12093,12097,0,3,0.2,1
12101,12105,0,3,0.2,1
12145,13040,0,3,0.1,1
13004,16507,0,3,0.25,1
13008,13006,0,3,0.25,1
13038,12141,0,3,0.1,1
13419,13481,0,3,0.5,1
13501,13505,0,3,0.5,1
16008,16010,0,3,0.5,1
16054,16056,0,3,0.5,1
16913,12073,0,3,1.1,1
16937,12089,0,3,0.4,1
16955,16959,0,3,0.3,1
16957,16953,0,3,0.3,1
16971,16975,0,3,0.1,1
16973,16969,0,3,0.1,1
16991,16995,0,3,0.2,1
16993,16989,0,3,0.2,1
17039,17043,0,3,0.9,1
17041,17037,0,3,0.9,1
20172,21136,0,3,0.25,1
20173,21020,0,3,0.25,1
20174,21377,0,3,0.25,1
20175,21368,0,3,0.25,1
20176,26214,0,3,0.25,1
20177,21040,0,3,0.5,1
20179,21044,0,3,0.25,1
20181,21062,0,3,0.25,1
20428,20427,0,3,0.25,1
21184,21186,0,3,0.25,1
21190,21188,0,3,0.25,1
21204,21100,0,3,0.5,1
21208,26283,0,3,0.75,1
21212,21210,0,3,0.75,1
21214,21120,0,3,0.5,1
21216,21218,0,3,0.5,1
21224,21139,0,3,0.25,1
21233,21234,0,3,0.75,1
21244,21239,0,3,0.75,1
21246,21252,0,3,0.5,1
21254,21255,0,3,0.5,1
21256,21258,0,3,0.5,1
21260,21262,0,3,0.5,1
21264,21266,0,3,0.25,1
21268,21270,0,3,0.25,1
21272,21274,0,3,0.25,1
21278,21276,0,3,0.25,1
21280,21282,0,3,0.25,1
21286,21284,0,3,0.25,1
21288,21292,0,3,0.5,1
21296,21294,0,3,0.5,1
21298,21300,0,3,0.5,1
21302,21301,0,3,0.5,1
21303,21304,0,3,0.75,1
21306,21305,0,3,0.75,1
21342,21344,0,3,0.5,1
21364,20180,0,3,0.25,1
21366,20178,0,3,0.5,1
22014,22016,0,3,0.5,1
25446,25448,0,3,0.5,1
26910,26914,0,3,0.75,1
26915,26911,0,3,0.75,1
28144,28166,0,3,0.25,1
28149,28150,0,3,0.5,1
28151,28152,0,3,0.5,1
28154,28153,0,3,0.45,1
28155,28156,0,3,0.45,1
28157,28159,0,3,0.45,1
28160,28158,0,3,0.45,1
28162,28161,0,3,0.25,1
28163,28164,0,3,0.25,1
28167,28147,0,3,0.25,1
28209,28210,0,3,0.5,1
28217,28218,0,3,0.5,1
28873,28874,0,3,0.5,1
28882,28788,0,3,0.25,1
28885,28888,0,3,0.25,1
28904,28930,0,3,0.5,1
28923,28962,0,3,0.75,1
28935,28934,0,3,0.75,1
28936,28937,0,3,0.75,1
28938,28939,0,3,0.25,1
28941,28940,0,3,0.25,1
28943,30974,0,3,0.25,1
28944,30965,0,3,0.25,1
28961,29148,0,3,0.75,1
28970,28971,0,3,0.5,1
28984,34914,0,3,0.5,1
29567,29551,0,3,0.5,1
29579,29576,0,3,0.5,1
29898,28047,0,3,0.25,1
29933,29961,0,3,0.25,1
30479,28185,0,3,0.5,1
30627,32573,0,3,0.25,1
30630,30625,0,3,0.25,1
30912,30915,0,3,0.75,1
30914,30913,0,3,0.75,1
30940,30941,0,3,0.25,1
30942,30943,0,3,0.25,1
30972,28942,0,3,0.25,1
32337,32341,0,3,0.25,1
32343,32352,0,3,0.25,1
32357,32362,0,3,0.25,1
32372,32377,0,3,0.25,1
32385,32407,0,3,0.25,1
32412,32417,0,3,0.25,1
32917,32967,0,3,0.5,1
33107,33112,0,3,0.25,1
33117,33122,0,3,0.25,1
33212,33222,0,3,0.25,1
33224,33227,0,3,0.25,1
33371,33372,0,3,0.5,1
33374,33375,0,3,0.5,1
33380,33381,0,3,0.75,1
33382,33378,0,3,0.75,1
34201,34202,0,3,0.25,1
34204,34205,0,3,0.25,1
34693,34694,0,3,0.75,1
34696,34695,0,3,0.75,1
36202,36203,0,3,0.25,1
36204,36205,0,3,0.25,1
