ITERATION,GAP,STD_DEV,MAXIMUM,RMSE,DIFFERENCE,TOTAL
1,1.000000,28.281656,1.000000,2829.9,14654477,14654477
2,0.785867,24.043804,1.000000,2405.7,12715352,16180030
3,0.325570,8.822362,1.000000,882.8,1780808,5469812
4,0.157524,1.855644,1.000000,186.2,704120,4469917
5,0.102874,1.060647,1.000000,106.6,437879,4256481
6,0.069813,0.867148,1.000000,87.0,289229,4142903
7,0.051623,0.607574,1.000000,61.0,210828,4084007
8,0.041754,0.505934,1.000000,50.8,169116,4050320
9,0.034088,0.366046,1.000000,36.8,137275,4027085
10,0.028747,0.314285,1.000000,31.6,115280,4010123
