N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef,VCOST
1,965199.8029,900599.1034,99,0,0,-0.117,-0.584,10
2,968913.5855,873333.3073,99,0,0,-0.117,-0.584,10
3,966833.5559,845862.7897,99,0,0,-0.117,-0.584,10
4,968078.5535,820491.089,99,0,0,-0.117,-0.584,10
5,948056.1739,860388.5397,99,0,0,-0.117,-0.584,10
6,941092.5944,837907.7863,99,0,0,-0.117,-0.584,10
7,940694.8696,815844.3661,99,0,0,-0.117,-0.584,10
8,935313.572,758378.3138,99,0,0,-0.117,-0.584,10
9,938388.7262,782764.4265,99,0,0,-0.117,-0.584,10
10,946270.6051,903930.3509,99,0,0,-0.117,-0.584,10
11,967624.5652,799653.1013,99,0,0,-0.117,-0.584,10
12,961352.2031,766987.9686,99,0,0,-0.117,-0.584,10
13,960461.9217,732558.0468,99,0,0,-0.117,-0.584,10
14,935336.4958,729595.9688,99,0,0,-0.117,-0.584,10
15,922680.4944,758490.218,99,0,0,-0.117,-0.584,10
16,911466.4736,924663.4127,99,0,0,-0.117,-0.584,10
17,859481.6225,893809.7093,99,0,0,-0.117,-0.584,10
18,945701.733,930381.7601,99,0,0,-0.117,-0.584,10
19,916896.1481,821192.8928,99,0,0,-0.117,-0.584,10
20,941925.267,885074.2741,99,0,0,-0.117,-0.584,10
21,717505.3068,815382.7378,99,0,0,-0.117,-0.584,10
22,857526.7974,802566.8801,99,0,0,-0.117,-0.584,10
23,948355.1238,716307.9116,99,0,0,-0.117,-0.584,10
24,939214.4037,712066.3549,99,0,0,-0.117,-0.584,10
25,930751.0473,711541.4955,99,0,0,-0.117,-0.584,10
26,920569.0542,711824.87,99,0,0,-0.117,-0.584,10
27,922981.1659,698234.1212,99,0,0,-0.117,-0.584,10
28,909231.8154,699076.0868,99,0,0,-0.117,-0.584,10
29,909064.8383,710774.7867,99,0,0,-0.117,-0.584,10
30,894713.9431,711090.8858,99,0,0,-0.117,-0.584,10
31,894863.7917,699863.3758,99,0,0,-0.117,-0.584,10
32,909181.4663,687723.0003,99,0,0,-0.117,-0.584,10
33,893923.6956,685233.9865,99,0,0,-0.117,-0.584,10
34,920057.0388,688185.2561,99,0,0,-0.117,-0.584,10
35,957453.2649,705702.4357,99,0,0,-0.117,-0.584,10
36,945578.3229,699404.1239,99,0,0,-0.117,-0.584,10
37,936262.0701,698223.1905,99,0,0,-0.117,-0.584,10
38,931699.1903,698456.7091,99,0,0,-0.117,-0.584,10
39,926486.5654,685298.5299,99,0,0,-0.117,-0.584,10
40,935605.9959,686085.8188,99,0,0,-0.117,-0.584,10
41,950972.2909,669889.5129,99,0,0,-0.117,-0.584,10
42,931341.113,661928.6743,99,0,0,-0.117,-0.584,10
43,924664.4561,654123.4668,99,0,0,-0.117,-0.584,10
44,933759.7949,653788.5984,99,0,0,-0.117,-0.584,10
45,946226.4305,645183.6702,99,0,0,-0.117,-0.584,10
46,935714.8572,638797.1413,99,0,0,-0.117,-0.584,10
47,924626.9201,638730.5041,99,0,0,-0.117,-0.584,10
48,935569.8703,680185.1482,99,0,0,-0.117,-0.584,10
49,925321.3276,677898.4686,99,0,0,-0.117,-0.584,10
50,934073.4607,678897.9141,99,0,0,-0.117,-0.584,10
51,933671.2001,673925.9725,99,0,0,-0.117,-0.584,10
52,924964.1061,670889.8277,99,0,0,-0.117,-0.584,10
53,916378.2741,676388.9723,99,0,0,-0.117,-0.584,10
54,915044.3177,670181.2714,99,0,0,-0.117,-0.584,10
55,924297.2296,661428.5169,99,0,0,-0.117,-0.584,10
56,939677.0696,671348.3053,99,0,0,-0.117,-0.584,10
57,932783.7406,667885.6081,99,0,0,-0.117,-0.584,10
58,939677.0696,662137.0732,99,0,0,-0.117,-0.584,10
59,908906.7888,679860.3033,99,0,0,-0.117,-0.584,10
60,908292.1928,671848.4627,99,0,0,-0.117,-0.584,10
61,890673.0989,672803.0024,99,0,0,-0.117,-0.584,10
62,890451.2669,663929.7229,99,0,0,-0.117,-0.584,10
63,878427.9732,662820.563,99,0,0,-0.117,-0.584,10
64,874568.0966,655677.573,99,0,0,-0.117,-0.584,10
65,907125.1589,661636.9158,99,0,0,-0.117,-0.584,10
66,914544.1603,661470.1967,99,0,0,-0.117,-0.584,10
67,895730.8682,653326.1539,99,0,0,-0.117,-0.584,10
68,887123.7871,652971.2227,99,0,0,-0.117,-0.584,10
69,904940.0979,653962.2869,99,0,0,-0.117,-0.584,10
70,915175.4283,653195.5955,99,0,0,-0.117,-0.584,10
71,914792.0826,646487.0456,99,0,0,-0.117,-0.584,10
72,907891.8599,646065.3653,99,0,0,-0.117,-0.584,10
73,914907.0863,633989.9756,99,0,0,-0.117,-0.584,10
74,914883.673,623776.4065,99,0,0,-0.117,-0.584,10
75,907316.8413,635715.0313,99,0,0,-0.117,-0.584,10
76,895864.754,637406.7901,99,0,0,-0.117,-0.584,10
77,888287.5711,638261.3596,99,0,0,-0.117,-0.584,10
78,838249.8727,622839.9278,99,0,0,-0.117,-0.584,10
79,891762.8204,623505.7928,99,0,0,-0.117,-0.584,10
80,909082.0956,623619.7354,99,0,0,-0.117,-0.584,10
81,934575.0969,632775.567,99,0,0,-0.117,-0.584,10
