N,DTA_Type
1,99
2,99
3,99
4,99
5,99
6,99
7,99
8,99
9,99
10,99
11,99
12,99
13,99
14,99
15,99
16,99
17,99
18,99
19,99
20,99
21,99
22,99
23,99
24,99
25,99
26,99
27,99
28,99
29,99
30,99
31,99
32,99
33,99
34,99
35,99
36,99
37,99
38,99
39,99
40,99
41,99
42,99
43,99
44,99
45,99
46,99
47,99
48,99
49,99
50,99
51,99
52,99
53,99
54,99
55,99
56,99
57,99
58,99
59,99
60,99
61,99
62,99
63,99
64,99
65,99
66,99
67,99
68,99
69,99
70,99
71,99
72,99
73,99
74,99
75,99
76,99
77,99
78,99
79,99
80,99
81,99
82,99
83,99
84,99
85,99
86,99
87,99
88,99
89,99
90,99
91,99
92,99
93,99
94,99
95,99
96,99
97,99
98,99
99,99
100,99
101,99
102,99
103,99
104,99
105,99
106,99
107,99
108,99
109,99
110,99
111,99
112,99
113,99
114,99
115,99
116,99
117,99
118,99
119,99
120,99
121,99
122,99
123,99
124,99
125,99
126,99
127,99
128,99
129,99
130,99
131,99
132,99
133,99
134,99
135,99
136,99
137,99
138,99
139,99
140,99
141,99
142,99
143,99
144,99
145,99
146,99
147,99
148,99
149,99
150,99
151,99
152,99
153,99
154,99
155,99
156,99
157,99
158,99
159,99
160,99
161,99
162,99
163,99
164,99
165,99
166,99
167,99
168,99
169,99
170,99
171,99
172,99
173,99
174,99
175,99
176,99
177,99
178,99
179,99
180,99
181,99
182,99
183,99
184,99
185,99
186,99
187,99
188,99
189,99
190,99
191,99
192,99
193,99
194,99
195,99
196,99
197,99
198,99
199,99
200,99
201,99
202,99
203,99
204,99
205,99
206,99
207,99
208,99
209,99
210,99
211,99
212,99
213,99
214,99
215,99
216,99
217,99
218,99
219,99
220,99
221,99
222,99
223,99
224,99
225,99
226,99
227,99
228,99
229,99
3072,0
12011,0
12031,0
12036,0
12038,0
12056,0
12058,0
12069,0
12073,0
12082,0
12084,0
12085,0
12086,0
12088,0
12089,0
12093,0
12097,0
12101,0
12105,0
12112,0
12116,0
12118,0
12123,0
12129,0
12133,0
12141,0
12145,0
12147,0
12148,0
12153,0
12154,0
12157,0
12165,90
12169,91
12171,0
12176,0
12177,0
12182,0
12189,0
12196,0
12198,0
12200,0
12216,0
12221,0
12225,0
12230,0
12232,0
12234,0
12236,0
12237,0
12238,0
12239,0
12240,0
12242,0
12243,0
12244,0
12246,0
12247,0
12251,0
12254,0
12255,0
12259,0
12263,0
12270,0
12294,0
12302,0
12304,0
12311,0
12323,0
12330,0
12332,0
12335,0
12339,0
12343,0
12347,0
12358,0
12366,0
12372,0
12374,0
12376,0
12378,0
12379,0
12380,0
12381,0
12382,0
12383,0
12384,0
12386,0
12389,0
12390,0
12391,0
12395,0
12399,0
12403,0
12407,0
12411,0
12419,0
12421,0
12427,0
12433,0
12445,0
12449,0
12453,0
12457,0
12461,0
12465,0
12469,0
12473,0
12478,0
12480,0
12484,0
12486,0
12496,0
12498,0
12500,0
12502,0
12504,0
12512,0
12514,0
12516,0
12518,0
12520,0
12526,0
12530,0
12532,0
12535,0
12561,0
12565,0
12567,0
12568,0
12583,0
12595,0
12596,0
12599,0
12603,0
12605,92
12609,0
12613,0
12616,0
12617,0
12637,0
12641,0
12669,0
12673,0
12675,0
12677,0
12679,0
12681,0
12685,0
12689,0
12695,0
12696,0
12699,0
12700,0
12707,0
12709,0
12713,0
12715,0
12717,0
12721,0
12725,0
12729,0
12731,0
12733,90
12737,91
12740,0
12747,0
12749,90
12750,0
12753,91
12754,0
12757,0
12761,0
12762,0
12764,0
12768,0
12770,0
12772,0
12773,0
12776,0
12778,0
12793,0
12795,0
12814,0
12826,0
12828,0
12844,0
12865,0
12873,0
12881,0
12884,0
12887,0
12903,0
12907,0
12911,0
12915,0
12917,0
12931,0
12932,0
12939,0
12950,0
12951,0
12952,0
12953,0
12955,0
12957,0
12961,0
12963,0
12965,0
12971,0
12972,0
12975,0
12979,0
13003,0
13007,0
13012,0
13015,0
13018,0
13019,0
13020,0
13022,0
13023,0
13026,0
13027,0
13029,0
13031,0
13034,0
13038,0
13039,0
13040,0
13042,0
13043,0
13044,0
13047,0
13051,0
13055,0
13059,0
13060,0
13063,0
13067,0
13071,0
13072,0
13075,0
13078,0
13079,0
13080,0
13083,0
13087,0
13091,0
13104,0
13108,0
13110,0
13112,0
13114,0
13122,0
13124,0
13126,0
13127,0
13162,0
13167,0
13201,0
13214,0
13230,0
13232,0
13233,0
13234,0
13237,0
13242,0
13244,0
13248,0
13249,0
13250,0
13256,0
13269,0
13270,0
13290,0
13304,0
13305,0
13315,0
13319,0
13323,0
13325,0
13327,0
13331,0
13335,0
13337,0
13343,0
13347,0
13351,0
13354,0
13355,0
13358,0
13359,0
13363,0
13367,0
13371,0
13375,0
13379,0
13386,0
13388,0
13390,0
13394,0
13396,0
13398,0
13402,0
13407,0
13415,0
13419,0
13424,0
13425,0
13426,0
13441,0
13449,0
13451,0
13453,0
13460,0
13471,0
13476,0
13478,0
13481,0
13485,0
13490,0
13498,0
13500,0
13501,0
13502,0
13504,0
13505,0
13506,0
13510,0
13511,0
13512,0
13514,0
13516,0
13518,0
13537,90
13538,0
13540,0
13541,91
13542,0
13547,0
13559,0
13561,0
13563,0
13567,0
13571,0
13573,0
13575,0
13577,0
13579,0
13583,0
13588,0
13590,0
13591,0
13595,0
13598,0
13599,0
13600,0
13604,0
13606,0
13607,0
13608,0
13610,0
13612,0
13614,0
13616,0
13621,0
13625,0
13626,0
13629,0
13630,0
13636,0
13689,0
13740,0
13819,0
13827,0
13831,0
13832,0
13834,0
13835,0
13836,0
13838,0
13839,0
13840,0
13843,0
13844,0
13848,0
13850,0
13852,0
13855,0
13865,0
13897,0
13899,0
13915,0
13990,0
13992,0
14026,0
14041,0
14045,0
14056,0
14058,0
14061,0
14063,0
14064,0
14066,0
14068,0
14070,0
14072,0
14088,0
14092,0
14097,0
14101,0
14119,0
14129,0
14191,0
14209,0
14215,0
14239,0
14241,0
14247,0
14249,0
14269,0
14273,0
14277,0
14279,0
14281,0
14283,0
14315,0
14317,0
14319,0
14321,0
14323,0
14325,0
14331,0
14337,0
14339,0
14341,0
14347,0
14529,0
14533,0
14537,0
14543,0
14549,0
14551,0
14553,0
14555,0
14557,0
14559,0
14561,0
14563,0
14565,0
14567,0
14569,0
14575,0
14579,0
14582,0
14583,0
14591,0
14593,0
14597,0
14613,0
14617,0
14619,0
14621,0
14623,0
14629,0
14631,0
14635,0
14637,0
14641,0
14643,0
14644,0
14645,0
14646,0
14647,0
14648,0
14649,0
14651,0
14652,0
14654,0
14655,0
14656,0
14657,0
14659,0
14663,0
14665,0
14667,0
14671,0
14675,0
14679,0
14681,0
14683,0
14685,0
14693,0
14695,0
14699,0
14701,0
14703,0
14705,0
14707,0
14709,0
14717,0
14729,0
14741,0
14765,0
14769,0
14773,0
14813,0
14825,0
14831,0
14849,0
14851,0
14855,0
14861,0
14863,0
14867,0
14869,0
14871,0
14875,0
14877,0
14883,0
14887,0
14897,0
14909,0
14919,0
14923,0
14931,0
14947,0
14953,0
14971,0
14985,0
15004,0
15009,0
15025,0
15089,0
15091,0
15093,0
15095,0
15097,0
15099,0
15101,0
15120,0
15141,0
15147,0
15169,0
15171,0
15172,0
15175,0
15177,0
15199,0
15205,0
15209,0
15221,0
15273,0
15274,0
15275,0
15277,0
15279,0
15282,0
15283,0
15285,0
15388,0
15390,0
15403,0
15405,0
15407,0
15409,0
15411,0
15413,0
15415,0
15419,0
15469,0
15471,0
15473,0
15475,0
15477,0
15479,0
15483,0
15504,0
15506,0
15508,0
15510,0
15512,0
15514,0
15528,0
15530,0
15532,0
15553,0
15555,0
15557,0
15559,0
15561,0
15565,0
15573,0
15651,0
15653,0
15655,0
15657,0
15659,0
15661,0
15663,0
15665,0
15667,0
15669,0
15671,0
15673,0
15675,0
15679,0
15681,0
15683,0
15685,0
15687,0
15689,0
15691,0
15693,0
15695,0
15697,0
15699,0
15701,0
15709,0
15713,0
15743,0
15745,0
15747,0
15749,0
15751,0
15753,0
15755,0
15757,0
15987,0
15989,0
15993,0
15997,0
15999,0
16003,0
16004,0
16005,0
16007,0
16008,0
16010,0
16021,0
16023,0
16029,0
16031,0
16035,0
16037,0
16041,0
16043,0
16047,0
16051,0
16054,0
16056,0
16063,0
16065,0
16075,0
16077,0
16079,0
16081,0
16083,0
16085,0
16087,0
16089,0
16091,0
16093,0
16157,0
16159,0
16161,0
16163,0
16165,0
16167,0
16169,0
16171,0
16173,0
16177,0
16342,0
16344,0
16345,0
16346,0
16347,0
16349,0
16351,0
16355,0
16357,0
16460,0
16505,0
16509,0
16519,0
16521,0
16523,0
16525,0
16529,0
16531,0
16533,0
16535,0
16537,0
16541,0
16542,0
16543,0
16545,0
16547,0
16549,0
16553,0
16555,0
16557,0
16559,0
16565,0
16567,0
16579,0
16589,0
16591,0
16607,0
16665,0
16713,0
16715,0
16717,0
16719,0
16721,0
16723,0
16725,0
16729,0
16733,0
16745,0
16759,0
16778,0
16780,0
16804,0
16836,0
16838,0
16844,0
16845,0
16846,0
16848,0
16856,0
16860,0
16866,0
16879,0
16907,0
16913,0
16915,0
16917,0
16919,0
16923,0
16929,0
16931,0
16937,0
16939,0
16941,0
16943,0
16945,0
16947,0
16953,0
16955,0
16957,0
16959,0
16965,0
16967,0
16969,0
16971,0
16973,0
16975,0
16981,0
16983,0
16985,0
16987,0
16989,0
16991,0
16993,0
16995,0
16997,0
16999,0
17003,0
17007,0
17017,0
17019,0
17021,0
17023,0
17025,0
17027,0
17029,0
17031,0
17033,0
17037,0
17039,0
17041,0
17042,0
17043,0
17049,0
17051,0
17053,0
17055,0
17057,0
17059,0
17065,0
17067,0
17069,0
17071,0
17077,0
17079,0
17081,0
17083,0
17085,0
17087,0
17089,0
17091,0
17093,0
17101,0
17103,0
17111,0
17113,0
17115,0
17117,0
17119,0
17121,0
17123,0
17125,0
17127,0
17129,0
17131,0
17133,0
17147,0
17149,0
17151,0
17153,0
17155,0
17157,0
17159,0
17161,0
17163,0
17165,0
17167,0
17169,0
17171,0
17173,0
17175,0
17177,0
17179,0
17181,0
17183,0
17185,0
17191,0
17193,0
17195,0
17197,0
17199,0
17201,0
17205,0
17207,0
17209,0
17211,0
17213,0
17215,0
17217,0
17219,0
17221,0
17227,0
17229,0
17235,0
17237,0
17239,0
17241,0
17243,0
17245,0
17247,0
17249,0
17251,0
17253,0
17255,0
17257,0
17259,0
17261,0
17263,0
17265,0
17267,0
17269,0
17271,0
17273,0
17275,0
17277,0
17279,0
17281,0
17283,0
17285,0
17287,0
17289,0
17291,0
17293,0
17295,0
17297,0
17299,0
17301,0
17303,0
17305,0
17307,0
17309,0
17311,0
17315,0
17317,0
17319,0
17321,0
17323,0
17325,0
17327,0
17329,0
17331,0
17333,0
17335,0
17337,0
17339,0
17341,0
17343,0
17345,0
17347,0
17349,0
17351,0
17353,0
17355,0
17357,0
17359,0
17361,0
17363,0
17365,0
17367,0
17369,0
17371,0
17373,0
17375,0
17377,0
17379,0
17381,0
17383,0
17385,0
17387,0
17389,0
17391,0
17393,0
17395,0
17397,0
17399,0
17737,0
17739,0
17741,0
17767,0
17769,0
17771,0
17773,0
17779,0
17847,0
17863,0
17865,0
17867,0
17869,0
17927,0
17929,0
17933,0
17935,0
17937,0
17939,0
17941,0
17955,0
17957,0
17958,0
17960,0
17961,0
18019,0
18021,0
18023,0
18029,0
18031,0
18035,0
18037,0
18043,0
18047,0
18051,0
18057,0
18059,0
18061,0
18063,0
18065,0
18067,0
18069,0
18071,0
18073,0
18075,0
18077,0
18079,0
18083,0
18085,0
18091,0
18149,0
18281,0
18283,0
18301,0
18333,0
18345,0
18347,0
18349,0
18351,0
18399,0
18405,0
18407,0
18413,0
18415,0
18417,0
18419,0
18441,0
18469,0
18471,0
18473,0
18475,0
18485,0
18535,0
18559,0
18561,0
18625,0
18632,0
18634,0
18655,0
18671,0
18673,0
18675,0
18677,0
18679,0
18699,0
18705,0
18707,0
18709,0
18711,0
18907,0
18911,0
18913,0
18921,0
18950,0
18952,0
18957,0
18977,0
18983,0
18999,0
19110,0
19111,0
19113,0
19123,0
19128,0
19131,0
19136,0
19137,0
19160,0
19170,0
19171,0
19174,0
19178,0
19196,0
19199,0
19207,0
