A,B,DISTANCE,CAPACITY,NUM_LANES,FTYPE,FFSPEED,ALPHA,BETA,TOLL_SEGNUM,TOLL_POLICY,TOLL_TYPE,TOLL,TOLLSEG_LEN,DIR1,DIR2,DIR3,DIR4,AM_TIME,MD_TIME,PM_TIME,EV_TIME,EA_TIME,AM_VC,MD_VC,PM_VC,EV_VC,EA_VC,AM_TOLL,MD_TOLL,PM_TOLL,EV_TOLL,EA_TOLL,AM_SOV,MD_SOV,PM_SOV,EV_SOV,EA_SOV,AM_HV2,MD_HV2,PM_HV2,EV_HV2,EA_HV2,AM_HV3,MD_HV3,PM_HV3,EV_HV3,EA_HV3,AM_TRK,MD_TRK,PM_TRK,EV_TRK,EA_TRK,TRK
1,12911,3.0169,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,14.5,14.49,14.72,14.48,14.48,0.19,0.15,0.39,0.08,0,0,0,0,0,0,1803,1415,3693,756.8,0,0,0,0,0,0,0,0,0,0,0,126.9,74.62,169.4,23.55,0,1
1,13379,1.6058,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,7.82,7.79,8.09,7.77,7.71,0.37,0.34,0.51,0.32,0.12,0,0,0,0,0,3443,3156,4804,3097,1034,0,0,0,0,0,0,0,0,0,0,250.9,269.1,278.4,149,147,1
1,13607,2.3803,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,11.51,11.46,11.62,11.43,11.43,0.32,0.26,0.39,0.18,0,0,0,0,0,0,2899,2246,3581,1638,0,0,0,0,0,0,0,0,0,0,0,268.2,316.8,287.2,124.6,0,1
2,13899,2.3745,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,11.46,11.43,11.62,11.43,11.4,0.29,0.24,0.4,0.25,0.05,0,0,0,0,0,2680,2233,3846,2416,463.1,0,0,0,0,0,0,0,0,0,0,198.5,192.8,184.5,97.24,54.47,1
2,14041,2.2716,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,10.91,10.92,11.11,10.91,10.9,0.16,0.19,0.4,0.13,0,0,0,0,0,0,1454,1759,3797,1234,0,0,0,0,0,0,0,0,0,0,0,148.7,179.9,198.8,54.92,0,1
2,14347,2.2274,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,10.77,10.75,12.24,10.76,10.69,0.32,0.29,0.66,0.3,0.08,0,0,0,0,0,2887,2662,6292,2862,727.1,0,0,0,0,0,0,0,0,0,0,282.8,271.8,333.7,137.6,88.85,1
3,14575,2.3056,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,11.07,11.07,11.07,11.07,11.07,0.11,0.02,0.02,0,0,0,0,0,0,0,1077,200.9,197.3,0,0,0,0,0,0,0,0,0,0,0,0,61.85,21.86,15.21,0,0,1
3,14709,1.3162,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,6.32,6.32,6.33,6.32,6.32,0.19,0.12,0.21,0.05,0,0,0,0,0,0,1735,1099,1958,467.5,0,0,0,0,0,0,0,0,0,0,0,124.3,111.3,167.2,32.17,0,1
3,14875,0.4786,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,2.31,2.3,2.3,2.3,2.3,0.26,0.24,0.26,0.21,0.06,0,0,0,0,0,2471,2143,2353,1999,549.6,0,0,0,0,0,0,0,0,0,0,151.7,243.3,200.1,137.6,83.8,1
3,15101,2.154,10000,1,51,12.5,0.75,4,0,0,0,0,0,0,0,0,0,10.34,10.34,10.34,10.34,10.34,0.04,0,0.04,0,0,0,0,0,0,0,382.7,0,369.8,0,0,0,0,0,0,0,0,0,0,0,0,30.6,0,36.53,0,0,1
