N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef
1,965199.802900,900599.103400,99,    0,                                                  ,0,0
2,968913.585500,873333.307300,99,    0,                                                  ,0,0
3,966833.555900,845862.789700,99,    0,                                                  ,0,0
4,968078.553500,820491.089000,99,    0,                                                  ,0,0
5,948056.173900,860388.539700,99,    0,                                                  ,0,0
6,941092.594400,837907.786300,99,    0,                                                  ,0,0
7,940694.869600,815844.366100,99,    0,                                                  ,0,0
8,935313.572000,758378.313800,99,    0,                                                  ,0,0
9,938388.726200,782764.426500,99,    0,                                                  ,0,0
10,946270.605100,903930.350900,99,    0,                                                  ,0,0
11,967624.565200,799653.101300,99,    0,                                                  ,0,0
12,961352.203100,766987.968600,99,    0,                                                  ,0,0
13,960461.921700,732558.046800,99,    0,                                                  ,0,0
14,935336.495800,729595.968800,99,    0,                                                  ,0,0
15,922680.494400,758490.218000,99,    0,                                                  ,0,0
16,911466.473600,924663.412700,99,    0,                                                  ,0,0
17,859481.622500,893809.709300,99,    0,                                                  ,0,0
18,945701.733000,930381.760100,99,    0,                                                  ,0,0
19,916896.148100,821192.892800,99,    0,                                                  ,0,0
20,941925.267000,885074.274100,99,    0,                                                  ,0,0
21,717505.306800,815382.737800,99,    0,                                                  ,0,0
22,857526.797400,802566.880100,99,    0,                                                  ,0,0
23,948355.123800,716307.911600,99,    0,                                                  ,0,0
24,939214.403700,712066.354900,99,    0,                                                  ,0,0
25,930751.047300,711541.495500,99,    0,                                                  ,0,0
26,920569.054200,711824.870000,99,    0,                                                  ,0,0
27,922981.165900,698234.121200,99,    0,                                                  ,0,0
28,909231.815400,699076.086800,99,    0,                                                  ,0,0
29,909064.838300,710774.786700,99,    0,                                                  ,0,0
30,894713.943100,711090.885800,99,    0,                                                  ,0,0
31,894863.791700,699863.375800,99,    0,                                                  ,0,0
32,909181.466300,687723.000300,99,    0,                                                  ,0,0
33,893923.695600,685233.986500,99,    0,                                                  ,0,0
34,920057.038800,688185.256100,99,    0,                                                  ,0,0
35,957453.264900,705702.435700,99,    0,                                                  ,0,0
36,945578.322900,699404.123900,99,    0,                                                  ,0,0
37,936262.070100,698223.190500,99,    0,                                                  ,0,0
38,931699.190300,698456.709100,99,    0,                                                  ,0,0
39,926486.565400,685298.529900,99,    0,                                                  ,0,0
40,935605.995900,686085.818800,99,    0,                                                  ,0,0
41,950972.290900,669889.512900,99,    0,                                                  ,0,0
42,931341.113000,661928.674300,99,    0,                                                  ,0,0
43,924664.456100,654123.466800,99,    0,                                                  ,0,0
44,933759.794900,653788.598400,99,    0,                                                  ,0,0
45,946226.430500,645183.670200,99,    0,                                                  ,0,0
46,935714.857200,638797.141300,99,    0,                                                  ,0,0
47,924626.920100,638730.504100,99,    0,                                                  ,0,0
48,935569.870300,680185.148200,99,    0,                                                  ,0,0
49,925321.327600,677898.468600,99,    0,                                                  ,0,0
50,934073.460700,678897.914100,99,    0,                                                  ,0,0
51,933671.200100,673925.972500,99,    0,                                                  ,0,0
