ORG,DES,PERIOD,ITERATION,MODE,A,B,TIME,COST,LENGTH,TRIPS
2,165,24,1,SOV,2,14347,10.69,0.00,2.23,0.128
2,165,24,1,SOV,14347,14341,10.82,0.00,2.30,0.128
2,165,24,1,SOV,14341,14323,11.00,0.00,2.39,0.128
2,165,24,1,SOV,14323,12112,12.02,0.00,2.90,0.128
2,165,24,1,SOV,12112,12116,12.34,0.00,3.10,0.128
2,165,24,1,SOV,12116,12118,13.26,0.00,3.69,0.128
2,165,24,1,SOV,12118,17221,13.34,0.00,3.76,0.128
2,165,24,1,SOV,17221,17229,14.19,0.00,4.55,0.128
2,165,24,1,SOV,17229,17939,14.31,0.00,4.67,0.128
2,165,24,1,SOV,17939,17935,14.42,0.00,4.77,0.128
2,165,24,1,SOV,17935,17927,14.83,0.00,5.14,0.128
2,165,24,1,SOV,17927,17237,14.96,0.00,5.26,0.128
2,165,24,1,SOV,17237,17241,15.11,0.00,5.39,0.128
2,165,24,1,SOV,17241,12232,15.21,0.00,5.50,0.128
2,165,24,1,SOV,12232,17957,15.48,0.00,5.79,0.128
2,165,24,1,SOV,17957,17245,15.67,0.00,6.00,0.128
2,165,24,1,SOV,17245,17249,16.06,0.00,6.42,0.128
2,165,24,1,SOV,17249,17253,16.33,0.00,6.71,0.128
2,165,24,1,SOV,17253,17257,17.07,0.00,7.53,0.128
2,165,24,1,SOV,17257,17261,17.26,0.00,7.73,0.128
2,165,24,1,SOV,17261,17265,17.59,0.00,8.10,0.128
2,165,24,1,SOV,17265,17269,18.24,0.00,8.80,0.128
2,165,24,1,SOV,17269,17273,18.78,0.00,9.38,0.128
2,165,24,1,SOV,17273,17277,19.48,0.00,10.14,0.128
2,165,24,1,SOV,17277,17281,19.96,0.00,10.65,0.128
2,165,24,1,SOV,17281,17285,20.77,0.00,11.51,0.128
2,165,24,1,SOV,17285,17289,21.37,0.00,12.16,0.128
2,165,24,1,SOV,17289,17293,21.57,0.00,12.37,0.128
2,165,24,1,SOV,17293,17297,21.74,0.00,12.56,0.128
2,165,24,1,SOV,17297,17301,22.36,0.00,13.22,0.128
2,165,24,1,SOV,17301,17305,23.05,0.00,13.95,0.128
2,165,24,1,SOV,17305,18085,23.44,0.00,14.36,0.128
2,165,24,1,SOV,18085,17309,23.90,0.00,14.86,0.128
2,165,24,1,SOV,17309,12332,23.96,0.00,14.94,0.128
2,165,24,1,SOV,12332,15390,24.51,0.00,15.54,0.128
2,165,24,1,SOV,15390,17317,24.57,0.00,15.60,0.128
2,165,24,1,SOV,17317,17321,25.12,0.00,16.21,0.128
2,165,24,1,SOV,17321,12386,25.15,0.00,16.24,0.128
2,165,24,1,SOV,12386,12382,25.42,0.00,16.54,0.128
2,165,24,1,SOV,12382,17325,25.45,0.00,16.57,0.128
2,165,24,1,SOV,17325,17329,26.01,0.00,17.18,0.128
2,165,24,1,SOV,17329,12378,26.03,0.00,17.21,0.128
2,165,24,1,SOV,12378,18077,26.48,0.00,17.71,0.128
2,165,24,1,SOV,18077,17333,28.61,0.00,20.05,0.128
2,165,24,1,SOV,17333,18071,28.77,0.00,20.23,0.128
2,165,24,1,SOV,18071,17337,28.95,0.00,20.42,0.128
2,165,24,1,SOV,17337,18069,29.23,0.00,20.73,0.128
2,165,24,1,SOV,18069,17341,29.52,0.00,21.05,0.128
2,165,24,1,SOV,17341,12374,29.53,0.00,21.07,0.128
2,165,24,1,SOV,12374,18063,29.82,0.00,21.38,0.128
2,165,24,1,SOV,18063,18059,30.16,0.00,21.75,0.128
2,165,24,1,SOV,18059,17345,30.36,0.00,21.97,0.128
2,165,24,1,SOV,17345,12196,30.64,0.00,22.27,0.128
2,165,24,1,SOV,12196,17349,30.90,0.00,22.55,0.128
2,165,24,1,SOV,17349,12709,30.99,0.00,22.65,0.128
2,165,24,1,SOV,12709,12717,31.26,0.00,22.95,0.128
2,165,24,1,SOV,12717,12677,31.48,0.00,23.18,0.128
2,165,24,1,SOV,12677,12681,32.07,0.00,23.82,0.128
2,165,24,1,SOV,12681,12725,32.13,0.00,23.88,0.128
2,165,24,1,SOV,12725,17353,33.01,0.00,24.84,0.128
2,165,24,1,SOV,17353,17357,33.16,0.00,25.00,0.128
2,165,24,1,SOV,17357,12733,33.25,0.00,25.11,0.128
2,165,24,1,SOV,12733,12637,33.27,0.00,25.13,0.023
2,165,24,1,SOV,12637,18471,34.78,0.00,26.86,0.023
2,165,24,1,SOV,18471,12613,35.11,0.00,27.24,0.023
2,165,24,1,SOV,12613,12605,35.34,0.00,27.49,0.023
2,165,24,1,SOV,12605,100345,36.71,0.00,29.06,0.023
2,165,24,1,SOV,100345,12561,37.97,0.00,30.51,0.023
2,165,24,1,SOV,12561,21411,38.27,0.00,30.84,0.023
2,165,24,1,SOV,21411,21430,39.91,0.00,32.71,0.023
2,165,24,1,SOV,21430,21434,40.74,0.00,33.67,0.023
2,165,24,1,SOV,21434,21438,41.01,0.00,33.97,0.023
2,165,24,1,SOV,21438,21441,41.60,0.00,34.65,0.023
2,165,24,1,SOV,21441,100330,44.43,0.00,37.88,0.023
2,165,24,1,SOV,100330,21493,45.48,0.00,39.09,0.023
2,165,24,1,SOV,21493,21495,45.72,0.00,39.36,0.023
2,165,24,1,SOV,21495,21540,48.21,0.00,42.20,0.023
2,165,24,1,SOV,21540,100342,49.66,0.00,43.87,0.023
2,165,24,1,SOV,100342,21560,50.09,0.00,44.36,0.023
2,165,24,1,SOV,21560,21568,50.16,0.00,44.44,0.023
2,165,24,1,SOV,21568,21580,50.99,0.00,45.39,0.023
2,165,24,1,SOV,21580,21854,51.44,0.00,45.91,0.023
2,165,24,1,SOV,21854,21624,52.31,0.00,46.89,0.023
2,165,24,1,SOV,21624,21631,53.01,0.00,47.69,0.023
2,165,24,1,SOV,21631,100718,53.38,0.00,48.12,0.023
2,165,24,1,SOV,100718,21642,53.43,0.00,48.17,0.023
2,165,24,1,SOV,21642,21662,53.77,0.00,48.56,0.023
2,165,24,1,SOV,21662,21354,54.14,0.00,48.99,0.023
2,165,24,1,SOV,21354,21668,54.72,0.00,49.65,0.023
2,165,24,1,SOV,21668,21696,55.59,0.00,50.64,0.023
2,165,24,1,SOV,21696,21700,55.81,0.00,50.90,0.023
2,165,24,1,SOV,21700,100340,55.91,0.00,51.02,0.023
2,165,24,1,SOV,100340,21706,56.43,0.00,51.61,0.023
2,165,24,1,SOV,21706,21780,59.56,0.00,55.19,0.023
2,165,24,1,SOV,21780,31480,60.23,0.00,55.95,0.023
2,165,24,1,SOV,31480,31486,60.82,0.00,56.52,0.023
2,165,24,1,SOV,31486,31517,62.84,0.00,58.48,0.023
2,165,24,1,SOV,31517,31537,62.97,0.00,58.60,0.023
2,165,24,1,SOV,31537,100328,63.03,0.00,58.66,0.023
2,165,24,1,SOV,100328,100335,63.21,0.00,58.84,0.023
2,165,24,1,SOV,100335,31567,64.07,0.00,59.67,0.023
2,165,24,1,SOV,31567,31842,64.69,0.00,60.27,0.023
2,165,24,1,SOV,31842,31867,65.33,0.00,60.89,0.023
2,165,24,1,SOV,31867,31337,65.83,0.00,61.37,0.023
2,165,24,1,SOV,31337,31317,66.02,0.00,61.56,0.023
2,165,24,1,SOV,31317,31297,66.68,0.00,62.20,0.023
2,165,24,1,SOV,31297,31101,72.74,0.00,68.07,0.023
2,165,24,1,SOV,31101,28119,73.43,0.00,68.73,0.023
2,165,24,1,SOV,28119,28120,73.43,0.00,68.74,0.023
2,165,24,1,SOV,28120,34549,74.25,0.00,69.46,0.023
2,165,24,1,SOV,34549,31481,74.50,0.00,69.69,0.023
2,165,24,1,SOV,31481,30459,74.66,0.00,69.84,0.023
2,165,24,1,SOV,30459,30460,74.76,0.00,69.93,0.023
2,165,24,1,SOV,30460,30445,74.83,0.00,70.01,0.023
2,165,24,1,SOV,30445,30471,75.19,0.00,70.34,0.023
2,165,24,1,SOV,30471,28188,75.35,0.00,70.47,0.023
2,165,24,1,SOV,28188,28189,75.37,0.30,70.48,0.023
2,165,24,1,SOV,28189,30476,75.40,0.30,70.51,0.023
2,165,24,1,SOV,30476,31461,75.58,0.30,70.60,0.023
2,165,24,1,SOV,31461,31462,75.71,0.30,70.65,0.023
2,165,24,1,SOV,31462,31651,76.27,0.30,70.91,0.023
2,165,24,1,SOV,31651,31652,76.76,0.30,71.15,0.023
2,165,24,1,SOV,31652,165,77.81,0.30,71.37,0.023
2,165,24,1,SOV,12733,17361,33.30,0.00,25.16,0.105
2,165,24,1,SOV,17361,18047,33.38,0.00,25.26,0.105
2,165,24,1,SOV,18047,18037,33.53,0.00,25.42,0.105
2,165,24,1,SOV,18037,18057,33.67,0.00,25.58,0.105
2,165,24,1,SOV,18057,17365,33.88,0.00,25.81,0.105
2,165,24,1,SOV,17365,17369,34.25,0.00,26.23,0.105
2,165,24,1,SOV,17369,18469,34.82,0.00,26.87,0.105
2,165,24,1,SOV,18469,17373,35.17,0.00,27.25,0.105
2,165,24,1,SOV,17373,12753,35.41,0.00,27.52,0.105
2,165,24,1,SOV,12753,17377,35.44,0.00,27.55,0.105
2,165,24,1,SOV,17377,12216,35.74,0.00,27.88,0.105
2,165,24,1,SOV,12216,17381,36.02,0.00,28.19,0.105
2,165,24,1,SOV,17381,12761,36.09,0.00,28.27,0.105
2,165,24,1,SOV,12761,17385,36.23,0.00,28.42,0.105
2,165,24,1,SOV,17385,17389,36.38,0.00,28.58,0.105
2,165,24,1,SOV,17389,17393,36.56,0.00,28.78,0.105
2,165,24,1,SOV,17393,100349,36.81,0.00,29.05,0.105
2,165,24,1,SOV,100349,100345,36.83,0.00,29.08,0.019
2,165,24,1,SOV,100345,12561,38.10,0.00,30.52,0.019
2,165,24,1,SOV,12561,21411,38.39,0.00,30.86,0.019
2,165,24,1,SOV,21411,21430,40.03,0.00,32.73,0.004
2,165,24,1,SOV,21430,21434,40.86,0.00,33.68,0.004
2,165,24,1,SOV,21434,21438,41.13,0.00,33.99,0.004
2,165,24,1,SOV,21438,21441,41.72,0.00,34.66,0.004
2,165,24,1,SOV,21441,100330,44.55,0.00,37.90,0.004
2,165,24,1,SOV,100330,21493,45.61,0.00,39.11,0.004
2,165,24,1,SOV,21493,21495,45.84,0.00,39.38,0.004
2,165,24,1,SOV,21495,21540,48.33,0.00,42.22,0.004
2,165,24,1,SOV,21540,100342,49.79,0.00,43.89,0.004
2,165,24,1,SOV,100342,21560,50.22,0.00,44.38,0.004
2,165,24,1,SOV,21560,21568,50.29,0.00,44.46,0.004
2,165,24,1,SOV,21568,21580,51.12,0.00,45.41,0.004
2,165,24,1,SOV,21580,21854,51.57,0.00,45.93,0.004
2,165,24,1,SOV,21854,21624,52.43,0.00,46.91,0.004
2,165,24,1,SOV,21624,21631,53.13,0.00,47.71,0.004
2,165,24,1,SOV,21631,100718,53.50,0.00,48.14,0.004
2,165,24,1,SOV,100718,21642,53.55,0.00,48.19,0.004
2,165,24,1,SOV,21642,21662,53.89,0.00,48.58,0.004
2,165,24,1,SOV,21662,21354,54.27,0.00,49.01,0.004
2,165,24,1,SOV,21354,21668,54.84,0.00,49.67,0.004
2,165,24,1,SOV,21668,21696,55.71,0.00,50.66,0.004
2,165,24,1,SOV,21696,21700,55.94,0.00,50.92,0.004
2,165,24,1,SOV,21700,100340,56.04,0.00,51.03,0.004
2,165,24,1,SOV,100340,21706,56.56,0.00,51.63,0.004
2,165,24,1,SOV,21706,21780,59.68,0.00,55.20,0.004
2,165,24,1,SOV,21780,31480,60.36,0.00,55.97,0.004
2,165,24,1,SOV,31480,31486,60.94,0.00,56.54,0.004
2,165,24,1,SOV,31486,31517,62.97,0.00,58.50,0.004
2,165,24,1,SOV,31517,31537,63.09,0.00,58.62,0.004
2,165,24,1,SOV,31537,100328,63.15,0.00,58.68,0.004
2,165,24,1,SOV,100328,100335,63.34,0.00,58.86,0.004
2,165,24,1,SOV,100335,31567,64.19,0.00,59.69,0.004
2,165,24,1,SOV,31567,31842,64.82,0.00,60.29,0.004
2,165,24,1,SOV,31842,31867,65.45,0.00,60.90,0.004
2,165,24,1,SOV,31867,31337,65.95,0.00,61.39,0.004
2,165,24,1,SOV,31337,31317,66.15,0.00,61.58,0.004
2,165,24,1,SOV,31317,31297,66.80,0.00,62.22,0.004
2,165,24,1,SOV,31297,31101,72.87,0.00,68.09,0.004
2,165,24,1,SOV,31101,28119,73.55,0.00,68.75,0.004
2,165,24,1,SOV,28119,28120,73.56,0.00,68.76,0.004
2,165,24,1,SOV,28120,34549,74.37,0.00,69.48,0.004
2,165,24,1,SOV,34549,31481,74.63,0.00,69.71,0.004
2,165,24,1,SOV,31481,30459,74.78,0.00,69.86,0.004
2,165,24,1,SOV,30459,30460,74.88,0.00,69.95,0.004
2,165,24,1,SOV,30460,30445,74.96,0.00,70.03,0.004
2,165,24,1,SOV,30445,30471,75.31,0.00,70.36,0.004
2,165,24,1,SOV,30471,28188,75.47,0.00,70.49,0.004
2,165,24,1,SOV,28188,28189,75.49,0.30,70.50,0.004
2,165,24,1,SOV,28189,30476,75.52,0.30,70.53,0.004
2,165,24,1,SOV,30476,31461,75.71,0.30,70.62,0.004
2,165,24,1,SOV,31461,31462,75.83,0.30,70.67,0.004
2,165,24,1,SOV,31462,31651,76.39,0.30,70.93,0.004
2,165,24,1,SOV,31651,31652,76.88,0.30,71.17,0.004
2,165,24,1,SOV,31652,165,77.94,0.30,71.39,0.004
2,165,24,1,SOV,21411,21462,38.42,0.00,30.89,0.016
