  A,  B, TOLLSEGNUM , TOLL_POLICY, TOLL, SEG_DISTANCE, DIRECTION
100326,31167,1,1,0,7.36,1
31317,31297,1,1,0,7.36,2
31427,31429,2,6,0,0.32,1
31537,100328,2,6,0,0.24,2
21772,21764,3,6,0,3.26,1
100340,21706,3,6,0,4.28,2
21670,20275,4,6,0,1.94,1
21354,21668,4,6,0,2.47,2
21632,21626,5,6,0,2.27,1
21624,21631,5,6,0,2.39,2
21570,21562,6,6,0,1.51,1
21560,21568,6,6,0,1.52,2
100329,21486,7,6,0,9.54,1
21434,21438,7,6,0,5.17,2
21414,12565,8,6,0,1.74,1
12561,21411,8,6,0,1.79,2
12617,18473,9,6,0,2.4,1
18471,12613,9,6,0,2.36,2
21493,21495,10,6,0,4.32,2
100278,100277,11,5,0,3.06,1
100274,100276,11,5,0,3.06,2
100223,100221,12,5,0,4.69,1
100220,100222,12,5,0,4.69,2
100193,100191,13,5,0,3.28,1
100190,100192,13,5,0,3.28,2
100158,100156,14,5,0,6.05,1
100155,100157,14,5,0,6.06,2
100138,100136,15,5,0,4.33,1
100135,100137,15,5,0,4.32,2
100095,100093,16,5,0,7.59,1
100303,100094,16,5,0,7.59,2
100065,100063,17,5,0,1.44,1
100062,100064,17,5,0,1.44,2
100041,100039,18,5,0.9,5.02,1
100038,100040,18,5,0.9,5.02,2
20778,20780,19,6,0,7.75,1
20779,20777,19,6,0,7.08,2
100497,100499,20,5,0.75,1,1
100508,100507,20,5,0.75,1,1
100474,100476,21,5,0,1,1
100488,100486,21,5,0,1,1
100460,100462,22,5,0,1,1
100463,100461,22,5,0,1,1
100451,100625,23,5,0.75,1,1
100354,100356,24,5,0,1,1
100374,100366,24,5,0,1,1
40288,40289,25,5,0.75,1,1
40308,40309,25,5,0.75,1,1
40322,40346,26,5,0,1,1
40345,40269,26,5,0,1,1
33445,33446,27,5,0.75,1,1
33447,33448,27,5,0.75,1,1
100646,33456,28,5,0,1,1
33416,33417,29,5,0,1,1
100648,100647,30,5,0.75,1,1
100650,100649,30,5,0.75,1,1
100651,100392,31,5,0,1,1
100413,100415,32,5,0,1,1
100423,100422,32,5,0,1,1
35053,100555,33,6,0,1,1
100556,35055,33,6,0,1,1
33524,100425,34,6,0,1,1
100426,33530,34,6,0,1,1
100678,28330,35,6,0,1,1
100664,100665,36,6,0,1,1
100550,100552,37,6,0,1,1
100656,100655,37,6,0,1,1
28365,100639,38,6,0,1,1
100684,100685,39,6,0,1,1
100686,100683,39,6,0,1,1
33639,33632,40,6,0,1,1
33636,34115,41,6,0,1,1
100699,33638,41,6,0,1,1
100590,35046,42,6,0,1,1
100581,100706,43,6,0,1,1
100705,100580,43,6,0,1,1
12069,16915,0,3,1.1,1,1
12085,16939,0,3,0.4,1,1
12093,12097,0,3,0.2,1,1
12101,12105,0,3,0.2,1,1
12145,13040,0,3,0.1,1,1
13038,12141,0,3,0.1,1,1
13419,13481,0,3,0.5,1,1
13501,13505,0,3,0.5,1,1
16008,16010,0,3,0.5,1,1
16054,16056,0,3,0.5,1,1
16521,16525,0,3,0.25,1,1
16523,16519,0,3,0.25,1,1
16913,12073,0,3,1.1,1,1
16937,12089,0,3,0.4,1,1
16955,16959,0,3,0.3,1,1
16957,16953,0,3,0.3,1,1
16971,16975,0,3,0.1,1,1
16973,16969,0,3,0.1,1,1
16991,16995,0,3,0.2,1,1
16993,16989,0,3,0.2,1,1
17039,17043,0,3,0.9,1,1
17041,17037,0,3,0.9,1,1
20172,21136,0,3,0.25,1,1
20173,21020,0,3,0.25,1,1
