;Hours,Direction_1,Direction_2,Direction_3,Direction_4
1,0.035482664,0.035482664,0.003366811,0.002610275
2,0.030844449,0.030844449,0.003136001,0.002447836
3,0.026197454,0.026197454,0.002920872,0.002299002
4,0.02258065,0.02258065,0.00251893,0.002041246
5,0.020001669,0.020001669,0.002138148,0.001733079
6,0.01764397,0.01764397,0.001851769,0.001530356
7,0.015785266,0.015785266,0.001622092,0.001372394
8,0.014234752,0.014234752,0.00145085,0.001264355
9,0.013381073,0.013381073,0.001310454,0.001140968
10,0.012397123,0.012397123,0.001193799,0.001078047
11,0.011654355,0.011654355,0.00111431,0.0010548
12,0.010993001,0.010993001,0.001056001,0.001070426
13,0.010829507,0.010829507,0.001017296,0.001108103
14,0.011262324,0.011262324,0.000993186,0.001156583
15,0.011901958,0.011901958,0.001002631,0.001237706
16,0.012283826,0.012283826,0.001020262,0.001363423
17,0.012958514,0.012958514,0.00108864,0.001581206
18,0.015495163,0.015495163,0.001164274,0.001748294
19,0.019452199,0.019452199,0.001294695,0.001997693
20,0.022006812,0.022006812,0.00147142,0.002422094
21,0.025562084,0.025562084,0.001766154,0.003205097
22,0.034045251,0.034045251,0.002055347,0.004003937
23,0.046491102,0.046491102,0.00255116,0.005024116
24,0.056047074,0.056047074,0.003215901,0.006499469
25,0.034728852,0.034728852,0.00811871,0.02431412
26,0.046988016,0.046988016,0.009881166,0.027799899
27,0.061801399,0.061801399,0.011968461,0.030782504
28,0.070869089,0.070869089,0.014078261,0.033207466
29,0.079851312,0.079851312,0.016164171,0.035987656
30,0.093289565,0.093289565,0.017731728,0.035567144
31,0.104075325,0.104075325,0.018876238,0.035253043
32,0.105985206,0.105985206,0.019582547,0.034849352
33,0.102680964,0.102680964,0.01992904,0.031126718
34,0.101874363,0.101874363,0.019707874,0.030580138
35,0.100867188,0.100867188,0.01903909,0.030451975
36,0.096988721,0.096988721,0.018539487,0.03041525
37,0.041688808,0.041688808,0.011821828,0.013013868
38,0.040181944,0.040181944,0.011455059,0.013033787
39,0.039759976,0.039759976,0.011218457,0.013078096
40,0.039008094,0.039008094,0.011250295,0.013028298
41,0.037820168,0.037820168,0.011220506,0.011999345
42,0.03823678,0.03823678,0.011229258,0.011916942
43,0.038956801,0.038956801,0.011303479,0.011781353
44,0.038985048,0.038985048,0.011496914,0.011728524
45,0.039028052,0.039028052,0.011627107,0.011643589
46,0.039830574,0.039830574,0.011753377,0.011504747
47,0.040775225,0.040775225,0.011923952,0.01133791
48,0.041536677,0.041536677,0.01216174,0.011330246
49,0.04224959,0.04224959,0.012296291,0.011560319
50,0.042539,0.042539,0.012376077,0.011598863
51,0.042674386,0.042674386,0.012459799,0.011609938
52,0.042719583,0.042719583,0.012576363,0.011719167
53,0.042659856,0.042659856,0.012745276,0.011924088
54,0.04302766,0.04302766,0.012880914,0.01190119
55,0.043632346,0.043632346,0.013053939,0.011784828
56,0.043433368,0.043433368,0.013446417,0.011936555
57,0.043989205,0.043989205,0.013940981,0.012381817
58,0.044887479,0.044887479,0.014365811,0.012464213
59,0.045970253,0.045970253,0.01490033,0.012332932
60,0.04640913,0.04640913,0.015568794,0.012320315
61,0.059722136,0.059722136,0.026155998,0.016618872
62,0.060848222,0.060848222,0.026630642,0.016352276
63,0.062224698,0.062224698,0.026856762,0.01626491
64,0.062219198,0.062219198,0.026904145,0.016410575
65,0.063023241,0.063023241,0.026625736,0.016424001
66,0.063359915,0.063359915,0.026330193,0.016467932
67,0.064809366,0.064809366,0.026243832,0.016566348
68,0.065950632,0.065950632,0.026382094,0.016737231
69,0.069421309,0.069421309,0.026173113,0.016834962
70,0.069539988,0.069539988,0.026049502,0.016942499
71,0.067391753,0.067391753,0.025790362,0.017050176
72,0.064401625,0.064401625,0.025530835,0.017100031
73,0.061905873,0.061905873,0.024862418,0.017679638
74,0.058875418,0.058875418,0.024436144,0.017441776
75,0.055337711,0.055337711,0.023839766,0.017142503
76,0.050968916,0.050968916,0.023052363,0.016735911
77,0.11301832,0.11301832,0.015194624,0.011991505
78,0.105642057,0.105642057,0.01437638,0.011289673
79,0.097861516,0.097861516,0.0134246,0.010593207
80,0.091670882,0.091670882,0.012636699,0.009873348
81,0.087220169,0.087220169,0.011577015,0.00946217
82,0.082812585,0.082812585,0.010701727,0.008888075
83,0.077559352,0.077559352,0.009929791,0.008441148
84,0.073830667,0.073830667,0.009449992,0.008137324
85,0.072679834,0.072679834,0.008915438,0.008072042
86,0.069861794,0.069861794,0.008683504,0.00784598
87,0.065923064,0.065923064,0.008651201,0.007690692
88,0.061919761,0.061919761,0.008636083,0.00770729
89,0.083777356,0.083777356,0.005773109,0.005930295
90,0.077264011,0.077264011,0.005673501,0.005786877
91,0.069701941,0.069701941,0.005642909,0.005518139
92,0.062513545,0.062513545,0.005597308,0.005269392
93,0.058396274,0.058396274,0.005439088,0.004171143
94,0.052114535,0.052114535,0.005291449,0.003750187
95,0.046245995,0.046245995,0.00529472,0.003542786
96,0.040454103,0.040454103,0.005204584,0.003445344
