A,B,TOLLSEGNUM,TOLL_POLICY,TOLL,SEG_DISTANCE
12561,21411,8,6,0,2
12617,18473,9,6,0,2
18471,12613,9,6,0,2
20778,20780,19,6,0,8
20779,20777,19,6,0,7
21354,21668,4,6,0,2
21414,12565,8,6,0,2
21434,21438,7,6,0,5
21493,21495,10,6,0,4
21560,21568,6,6,0,2
21570,21562,6,6,0,2
21624,21631,5,6,0,2
21632,21626,5,6,0,2
21670,20275,4,6,0,2
21772,21764,3,6,0,3
28365,100639,38,6,0,1
31317,31297,1,1,0,7
31427,31429,2,6,0,0
31537,100328,2,6,0,0
33416,33417,29,5,0,1
33445,33446,27,5,0.75,1
33447,33448,27,5,0.75,1
33524,100425,34,6,0,1
33636,34115,41,6,0,1
33639,33632,40,6,0,1
35053,100555,33,6,0,1
40288,40289,25,5,0.75,1
40308,40309,25,5,0.75,1
40322,40346,26,5,0,1
40345,40269,26,5,0,1
100038,100040,18,5,0.90,5
100041,100039,18,5,0.90,5
100062,100064,17,5,0,1
100065,100063,17,5,0,1
100095,100093,16,5,0,8
100135,100137,15,5,0,4
100138,100136,15,5,0,4
100155,100157,14,5,0,6
100158,100156,14,5,0,6
100190,100192,13,5,0,3
100193,100191,13,5,0,3
100220,100222,12,5,0,5
100223,100221,12,5,0,5
100274,100276,11,5,0,3
100278,100277,11,5,0,3
100303,100094,16,5,0,8
100326,31167,1,1,0,7
100329,21486,7,6,0,10
100340,21706,3,6,0,4
100354,100356,24,5,0,1
100374,100366,24,5,0,1
100413,100415,32,5,0,1
100423,100422,32,5,0,1
100426,33530,34,6,0,1
100451,100625,23,5,0.75,1
100460,100462,22,5,0,1
100463,100461,22,5,0,1
100474,100476,21,5,0,1
100488,100486,21,5,0,1
100497,100499,20,5,0.75,1
100508,100507,20,5,0.75,1
100550,100552,37,6,0,1
100556,35055,33,6,0,1
100581,100706,43,6,0,1
100590,35046,42,6,0,1
100646,33456,28,5,0,1
100648,100647,30,5,0.75,1
100650,100649,30,5,0.75,1
100651,100392,31,5,0,1
100656,100655,37,6,0,1
100664,100665,36,6,0,1
100678,28330,35,6,0,1
100684,100685,39,6,0,1
100686,100683,39,6,0,1
100699,33638,41,6,0,1
100705,100580,43,6,0,1
