ITERATION,GAP,STD_DEV,MAXIMUM,RMSE,DIFFERENCE,TOTAL
1,1.000000,14.496231,1.000000,1453.1,64389885,64389885
2,0.847066,11.938658,1.000000,1196.9,61628809,72755595
3,0.536920,9.283587,1.000000,929.9,11842350,22056063
4,0.294816,5.641533,1.000000,564.9,4179437,14176412
5,0.179732,3.352247,1.000000,335.7,2195831,12217246
6,0.123050,2.902087,1.000000,290.5,1407102,11435200
7,0.090874,2.241195,1.000000,224.3,1005275,11062268
8,0.074207,1.529163,1.000000,153.1,806282,10865353
9,0.060521,1.317408,1.000000,131.9,649024,10723915
10,0.052717,1.177190,1.000000,117.8,560830,10638503
11,0.045343,0.930530,1.000000,93.2,479259,10569690
12,0.039420,0.781533,1.000000,78.3,414514,10515229
13,0.035817,0.658751,1.000000,66.0,375446,10482420
14,0.032507,0.967733,0.962775,96.8,339974,10458428
15,0.029833,0.671481,0.912290,67.2,311452,10439806
16,0.026999,0.514993,0.902561,51.6,281307,10419220
17,0.025719,0.527337,0.931333,52.8,267692,10408375
18,0.024146,0.519900,1.000000,52.0,251116,10399803
19,0.022456,0.438619,0.900187,43.9,233370,10392175
20,0.020817,0.426981,0.867825,42.7,216212,10386119
21,0.020337,0.523823,0.929342,52.4,211262,10388039
22,0.019239,0.437965,0.874371,43.8,199837,10387304
23,0.018218,0.449342,0.835292,45.0,189223,10386674
24,0.017598,0.448495,0.804954,44.9,182802,10387784
25,0.016975,0.397688,0.662878,39.8,176320,10387243
